geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,05/24/21 - 05/30/21,3907656,49595877.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,05/24/21 - 05/30/21,477,6054.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,05/24/21 - 05/30/21,3286,41705.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,05/24/21 - 05/30/21,4179,53039.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,05/24/21 - 05/30/21,6785,86115.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,05/24/21 - 05/30/21,4307,54664.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,05/24/21 - 05/30/21,496,6295.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,05/24/21 - 05/30/21,144,1827.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,05/24/21 - 05/30/21,400,5076.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,05/24/21 - 05/30/21,169905,2156430.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,05/24/21 - 05/30/21,130485,1656112.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,05/24/21 - 05/30/21,2173,27579.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,05/24/21 - 05/30/21,498,6320.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,05/24/21 - 05/30/21,5576,70770.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,05/24/21 - 05/30/21,4245,53877.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,05/24/21 - 05/30/21,879,11156.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,05/24/21 - 05/30/21,1032,13098.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,05/24/21 - 05/30/21,7926,100596.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,05/24/21 - 05/30/21,17119,217273.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,05/24/21 - 05/30/21,530,6726.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,05/24/21 - 05/30/21,1491,18923.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,05/24/21 - 05/30/21,1893,24025.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,05/24/21 - 05/30/21,2591,32884.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,05/24/21 - 05/30/21,766,9722.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,05/24/21 - 05/30/21,55171,700229.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,05/24/21 - 05/30/21,4678,59373.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,05/24/21 - 05/30/21,1053,13364.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,05/24/21 - 05/30/21,489,6206.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,05/24/21 - 05/30/21,4392,55743.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,05/24/21 - 05/30/21,329,4175.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,05/24/21 - 05/30/21,1421,18035.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,05/24/21 - 05/30/21,1135,14405.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,05/24/21 - 05/30/21,2421,30727.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,05/24/21 - 05/30/21,9744,123670.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,05/24/21 - 05/30/21,273,3464.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,05/24/21 - 05/30/21,4309,54689.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,05/24/21 - 05/30/21,2047,25980.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,05/24/21 - 05/30/21,533,6764.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,05/24/21 - 05/30/21,2325,29508.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,05/24/21 - 05/30/21,68,863.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,05/24/21 - 05/30/21,9463,120104.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,05/24/21 - 05/30/21,710,9011.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,05/24/21 - 05/30/21,65508,831425.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,05/24/21 - 05/30/21,19077,242124.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,05/24/21 - 05/30/21,1235,15674.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,05/24/21 - 05/30/21,61,774.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,05/24/21 - 05/30/21,4433,56263.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,05/24/21 - 05/30/21,1081,13720.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,05/24/21 - 05/30/21,658,8351.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,05/24/21 - 05/30/21,1082,13732.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,05/24/21 - 05/30/21,1615,20497.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,05/24/21 - 05/30/21,187,7669.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,05/24/21 - 05/30/21,132639,5439734.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,05/24/21 - 05/30/21,1322,54217.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,05/24/21 - 05/30/21,125,5126.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,05/24/21 - 05/30/21,1716,70375.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,05/24/21 - 05/30/21,439,18004.0
02,09,-151.59342192189865,63.742989015090714,-72.73825767764087,41.575164149895755,05/24/21 - 05/30/21,16,656.0
02,10,-151.59342192189865,63.742989015090714,-75.45249262811352,38.99497528640457,05/24/21 - 05/30/21,4,164.0
02,11,-151.59342192189865,63.742989015090714,-77.0162909035438,38.90477388790585,05/24/21 - 05/30/21,29,1189.0
02,12,-151.59342192189865,63.742989015090714,-82.46641838867941,28.477058414990193,05/24/21 - 05/30/21,1698,69637.0
02,13,-151.59342192189865,63.742989015090714,-83.42714021377525,32.63861711465618,05/24/21 - 05/30/21,374,15338.0
02,15,-151.59342192189865,63.742989015090714,-158.1099738068461,20.995111199008356,05/24/21 - 05/30/21,1704,69883.0
02,16,-151.59342192189865,63.742989015090714,-114.6594139607683,44.389055086057056,05/24/21 - 05/30/21,380,15584.0
02,17,-151.59342192189865,63.742989015090714,-89.14863899339443,40.124200826969364,05/24/21 - 05/30/21,264,10827.0
